"Long" "Lat" "SiteNum" "Name" "State" "First" "Last" "PercComp" "Elev" "Dist"
"127.23" "-17.83" "002054" "SPRINGVALE WEST" "WA" "1971" "1972" "0.3" NA NA
"128.53" "-19.1" "002055" "LEWIS CREEK" "WA" "1936" "1940" "0.5" NA NA
"128.71" "-15.78" "002056" "KUNUNURRA AERO" "WA" "1971" "2016" "0.91" "44" NA
"128.3" "-17.42" "002057" "BUNGLE BUNGLE NATIONAL PARK" "WA" "1990" "2005" "0.42" "320" NA
"128.48" "-18.35" "002058" "EUROTO" "WA" "1935" "1940" "0.47" NA NA
"127.75" "-18.43" "002059" "RUBY CREEK GOLDMINE" "WA" "1898" "1900" "0.64" NA NA
"128.42" "-16.04" "002060" "KINGSTON REST" "WA" "1969" "2016" "0.73" "69" NA
"127.64" "-19.33" "002061" "CARRANYA" "WA" "1963" "2016" "0.49" "338" NA
"128.03" "-18.42" "002062" "FOX RIVER" "WA" "1975" "2011" "0.86" "310" NA
"128.46" "-19.88" "002063" "LARRANGANNI" "WA" "1976" "1978" "0.94" "470" NA
"128.45" "-16.64" "002064" "ARGYLE AERODROME" "WA" "1986" "2016" "0.98" "164" NA
"126.23" "-17.39" "002065" "MORNINGTON" "WA" "1991" "2004" "0.4" "280" NA
"127.65" "-19.18" "002066" "CARRANYA 2" "WA" "1991" "1995" "0.56" "350" NA
"129" "-15.98" "002067" "KUNUNURRA CHECKPOINT" "WA" "1993" "2016" "0.88" "80" NA
"126.85" "-17.07" "002068" "MARION DOWNS" "WA" "1993" "2016" "0.94" "460" NA
"127.78" "-16.44" "002069" "KACHANA" "WA" "1993" "2016" "0.75" "270" NA
"126.13" "-16.88" "002070" "PHILLIPS RANGE" "WA" "1994" "1995" "0.92" "416" NA
"127.66" "-18.23" "002071" "HALLS CREEK COMPARISON (OLD)" "WA" "1996" "2001" "0.49" "422" NA
"127.46" "-17.28" "002072" "BEDFORD DOWNS AIRSTRIP" "WA" "2011" "2016" "0.86" "531" NA
"126.88" "-18.62" "002073" "MARGARET RIVER AIRSTRIP" "WA" "2006" "2016" "0.88" "270" NA
"127.49" "-18.2" "002074" "MOOLA BULLA AIRSTRIP" "WA" "2003" "2016" "0.85" "440" NA
"126.09" "-19.04" "002075" "BULKA" "WA" "1995" "2015" "0.82" "190" NA
"126.11" "-17.52" "002076" "MORNINGTON" "WA" "2004" "2016" "0.78" "190" NA
"126.55" "-16.92" "002077" "SIDDINS CREEK" "WA" "2009" "2016" "0.88" "410" NA
"126.53" "-18.83" "002078" "LARRAWA AIRFIELD" "WA" "2009" "2016" "0.87" "270" NA
"122.67" "-16.98" "003000" "BEAGLE BAY" "WA" "1902" "2015" "0.81" "9" NA
"122.57" "-17.28" "003001" "COUNTRY DOWNS" "WA" "1969" "2016" "0.92" "153" NA
"122.25" "-17.95" "003002" "BROOME POST OFFICE" "WA" "1889" "1953" "0.9" "19" NA
"122.24" "-17.95" "003003" "BROOME AIRPORT" "WA" "1939" "2016" "0.98" "7" NA
"122.93" "-16.4" "003004" "CAPE LEVEQUE" "WA" "1917" "2015" "0.88" "25" NA
"125.07" "-17.57" "003005" "FAIRFIELD STATION" "WA" "1950" "2012" "0.45" "120" NA
"125.56" "-18.19" "003006" "FITZROY CROSSING COMP." "WA" "1893" "2000" "0.9" "114" NA
"123.63" "-17.3" "003007" "DERBY POST OFFICE" "WA" "1882" "1997" "0.79" "8" NA
"124.81" "-17.93" "003008" "ELLENDALE" "WA" "1919" "2013" "0.63" "120" NA
"125.3" "-18.35" "003009" "JUBILEE DOWNS" "WA" "1937" "2016" "0.95" "100" NA
"124.36" "-17.39" "003010" "KIMBERLEY DOWNS" "WA" "1885" "2016" "0.73" "90" NA
"125.38" "-17.75" "003011" "LEOPOLD DOWNS" "WA" "1899" "2012" "0.74" "220" NA
"124.17" "-18.05" "003012" "LIVERINGA UPPER" "WA" "1898" "2002" "0.8" "60" NA
"124.03" "-18.15" "003013" "LULUIGUI" "WA" "1920" "1983" "0.67" "80" NA
"125.59" "-18.29" "003014" "GOGO STATION" "WA" "1908" "2016" "0.91" "150" NA
"124" "-17.37" "003015" "MEDA" "WA" "1911" "2000" "0.97" "75" NA
"123.93" "-18.04" "003016" "MOUNT ANDERSON" "WA" "1899" "1986" "0.85" "40" NA
"125.71" "-17.05" "003017" "MOUNT HOUSE STATION" "WA" "1923" "2014" "0.95" "270" NA
"124.27" "-18.12" "003018" "MYROODAH" "WA" "1907" "2016" "0.9" "60" NA
"124.82" "-17.33" "003019" "NAPIER DOWNS" "WA" "1912" "2016" "0.82" "80" NA
"124.4" "-18.49" "003020" "NERRIMA" "WA" "1935" "2015" "0.39" "95" NA
"124.82" "-18.49" "003021" "NOONKANBAH" "WA" "1898" "1992" "0.75" "70" NA
"125.23" "-18.38" "003022" "QUANBUN DOWNS" "WA" "1898" "2015" "0.88" "100" NA
"122.47" "-17.93" "003023" "ROEBUCK PLAINS" "WA" "1902" "2011" "0.86" "15" NA
"123.74" "-17.95" "003024" "UDIALLA" "WA" "1930" "2016" "0.64" "20" NA
"123.62" "-16.1" "003025" "COCKATOO ISLAND" "WA" "1948" "2014" "0.47" "91" NA
"123.65" "-17.62" "003026" "YEEDA" "WA" "1890" "2016" "0.83" "5" NA
"125.78" "-18.14" "003027" "FOSSIL DOWNS" "WA" "1904" "2016" "0.91" "120" NA
"121.49" "-19.25" "003028" "ANNA PLAINS" "WA" "1908" "2016" "0.82" "10" NA
"121.71" "-18.8" "003029" "FRAZIER DOWNS" "WA" "1910" "1980" "0.62" "9" NA
"121.78" "-18.68" "003030" "BIDYADANGA" "WA" "1891" "2016" "0.89" "11" NA
"122.89" "-16.52" "003031" "LOMBADINA MISSION" "WA" "1946" "1993" "0.73" "20" NA
"123.66" "-17.37" "003032" "DERBY AERO" "WA" "1951" "2016" "0.86" "6" NA
"124.53" "-17.75" "003033" "BLINA" "WA" "1938" "2012" "0.77" "60" NA
"124.95" "-16.4" "003035" "MUNJA" "WA" "1922" "1948" "0.86" NA NA
"122.22" "-18" "003036" "BROOME QUARANTINE STATION" "WA" "1952" "1953" "0.36" "9" NA
"123.75" "-17.43" "003037" "MUNKAYARRA" "WA" "1958" "1958" "0.56" NA NA
"125.3" "-16.97" "003039" "SILENT GROVE" "WA" "1959" "1972" "0.87" NA NA
"124.19" "-17.99" "003040" "CAMBALLIN" "WA" "1958" "2016" "0.74" "45" NA
"122.72" "-17.69" "003041" "KILTO STATION" "WA" "1962" "2016" "0.52" "60" NA
"121.5" "-19.28" "003042" "TALGARNO" "WA" "1959" "1963" "0.7" "3" NA
"125.92" "-18.88" "003043" "CHRISTMAS CREEK HOMESTEAD" "WA" "1960" "2015" "0.88" "160" NA
"125.64" "-18.11" "003044" "BROOKING SPRINGS" "WA" "1901" "2015" "0.27" "110" NA
"121.5" "-19.1" "003045" "CALANGADIE" "WA" "1921" "1939" "0.36" NA NA
"125.33" "-18.48" "003046" "CHERRABUN" "WA" "1906" "1972" "0.22" "91" NA
"123.1" "-18.4" "003047" "DAMPIER DOWNS" "WA" "1929" "1940" "0.91" NA NA
"125.53" "-18.92" "003048" "CHERRABUN" "WA" "1962" "2011" "0.75" "151" NA
"125.7" "-16.9" "003049" "ISADELL DOWNS" "WA" "1913" "1927" "0.94" NA NA
"124.17" "-17.95" "003050" "LIVERINGA LOWER" "WA" "1887" "1896" "0.39" NA NA
"125.91" "-16.74" "003051" "MOUNT BARNETT" "WA" "1983" "2016" "0.46" "401" NA
"124.92" "-16.82" "003052" "MOUNT HART STATION" "WA" "1925" "2015" "0.42" "190" NA
"123.98" "-16.7" "003053" "OBAGAMA" "WA" "1895" "1934" "0.82" NA NA
"123.7" "-17.1" "003054" "POINT TORMENT" "WA" "1904" "1923" "0.27" NA NA
"121.75" "-18.7" "003055" "ROLLAH" "WA" "1907" "1919" "0.94" NA NA
"122.36" "-18.18" "003056" "THANGOO" "WA" "1892" "2014" "0.56" "5" NA
"123.01" "-16.45" "003057" "CYGNET BAY" "WA" "1963" "2016" "0.97" "7" NA
"124.95" "-18.83" "003058" "MILLAJIDDIE" "WA" "1964" "1969" "0.44" "60" NA
"121.68" "-19.09" "003059" "NITA DOWNS" "WA" "1964" "2016" "0.63" "31" NA
"123.68" "-18.77" "003060" "ARDJORIE" "WA" "1966" "1973" "0.93" "152" NA
"123.86" "-16.7" "003061" "KIMBOLTON RANGE STATION 1" "WA" "1966" "1978" "0.78" "250" NA
"125.48" "-16.58" "003062" "BEVERLEY SP" "WA" "1959" "1967" "0.92" NA NA
"125.46" "-16.72" "003063" "CHARNLEY RIVER" "WA" "1968" "2016" "0.91" "400" NA
"125.58" "-18.17" "003064" "FITZROY A.I.M" "WA" "1970" "1974" "1" NA NA
"124.72" "-18.55" "003065" "KALYEEDA" "WA" "1972" "1974" "0.31" NA NA
"121.81" "-18.52" "003066" "PORT SMITH" "WA" "1973" "2016" "0.94" "10" NA
